Anno;Sesso;Provenienza;Reato;Totale
2000;M;Italia;Omicidi Volontari;482
2000;M;Italia;Percosse;412
2000;M;Italia;Stalking;0
2000;M;Italia;Violenze Sessuali;949
2000;M;Italia;Maltrattamenti;972
2000;M;Paese Estero;Omicidi Volontari;59
2000;M;Paese Estero;Percosse;33
2000;M;Paese Estero;Stalking;0
2000;M;Paese Estero;Violenze Sessuali;249
2000;M;Paese Estero;Maltrattamenti;101
2000;F;Italia;Omicidi Volontari;14
2000;F;Italia;Percosse;118
2000;F;Italia;Stalking;0
2000;F;Italia;Violenze Sessuali;18
2000;F;Italia;Maltrattamenti;58
2000;F;Paese Estero;Omicidi Volontari;0
2000;F;Paese Estero;Percosse;6
2000;F;Paese Estero;Stalking;0
2000;F;Paese Estero;Violenze Sessuali;0
2000;F;Paese Estero;Maltrattamenti;13
2001;M;Italia;Omicidi Volontari;623
2001;M;Italia;Percosse;524
2001;M;Italia;Stalking;0
2001;M;Italia;Violenze Sessuali;988
2001;M;Italia;Maltrattamenti;1032
2001;M;Paese Estero;Omicidi Volontari;112
2001;M;Paese Estero;Percosse;67
2001;M;Paese Estero;Stalking;0
2001;M;Paese Estero;Violenze Sessuali;452
2001;M;Paese Estero;Maltrattamenti;201
2001;F;Italia;Omicidi Volontari;25
2001;F;Italia;Percosse;135
2001;F;Italia;Stalking;0
2001;F;Italia;Violenze Sessuali;18
2001;F;Italia;Maltrattamenti;34
2001;F;Paese Estero;Omicidi Volontari;1
2001;F;Paese Estero;Percosse;21
2001;F;Paese Estero;Stalking;0
2001;F;Paese Estero;Violenze Sessuali;3
2001;F;Paese Estero;Maltrattamenti;25
2002;M;Italia;Omicidi Volontari;709
2002;M;Italia;Percosse;658
2002;M;Italia;Stalking;0
2002;M;Italia;Violenze Sessuali;1128
2002;M;Italia;Maltrattamenti;1040
2002;M;Paese Estero;Omicidi Volontari;77
2002;M;Paese Estero;Percosse;43
2002;M;Paese Estero;Stalking;0
2002;M;Paese Estero;Violenze Sessuali;267
2002;M;Paese Estero;Maltrattamenti;144
2002;F;Italia;Omicidi Volontari;20
2002;F;Italia;Percosse;210
2002;F;Italia;Stalking;0
2002;F;Italia;Violenze Sessuali;27
2002;F;Italia;Maltrattamenti;59
2002;F;Paese Estero;Omicidi Volontari;1
2002;F;Paese Estero;Percosse;9
2002;F;Paese Estero;Stalking;0
2002;F;Paese Estero;Violenze Sessuali;4
2002;F;Paese Estero;Maltrattamenti;16
2003;M;Italia;Omicidi Volontari;755
2003;M;Italia;Percosse;759
2003;M;Italia;Stalking;0
2003;M;Italia;Violenze Sessuali;1114
2003;M;Italia;Maltrattamenti;1075
2003;M;Paese Estero;Omicidi Volontari;128
2003;M;Paese Estero;Percosse;96
2003;M;Paese Estero;Stalking;0
2003;M;Paese Estero;Violenze Sessuali;392
2003;M;Paese Estero;Maltrattamenti;181
2003;F;Italia;Omicidi Volontari;23
2003;F;Italia;Percosse;194
2003;F;Italia;Stalking;0
2003;F;Italia;Violenze Sessuali;23
2003;F;Italia;Maltrattamenti;61
2003;F;Paese Estero;Omicidi Volontari;3
2003;F;Paese Estero;Percosse;32
2003;F;Paese Estero;Stalking;0
2003;F;Paese Estero;Violenze Sessuali;5
2003;F;Paese Estero;Maltrattamenti;19
2004;M;Italia;Omicidi Volontari;777
2004;M;Italia;Percosse;687
2004;M;Italia;Stalking;0
2004;M;Italia;Violenze Sessuali;1156
2004;M;Italia;Maltrattamenti;1106
2004;M;Paese Estero;Omicidi Volontari;131
2004;M;Paese Estero;Percosse;69
2004;M;Paese Estero;Stalking;0
2004;M;Paese Estero;Violenze Sessuali;400
2004;M;Paese Estero;Maltrattamenti;183
2004;F;Italia;Omicidi Volontari;30
2004;F;Italia;Percosse;202
2004;F;Italia;Stalking;0
2004;F;Italia;Violenze Sessuali;19
2004;F;Italia;Maltrattamenti;39
2004;F;Paese Estero;Omicidi Volontari;4
2004;F;Paese Estero;Percosse;17
2004;F;Paese Estero;Stalking;0
2004;F;Paese Estero;Violenze Sessuali;3
2004;F;Paese Estero;Maltrattamenti;26
2005;M;Italia;Omicidi Volontari;822
2005;M;Italia;Percosse;572
2005;M;Italia;Stalking;0
2005;M;Italia;Violenze Sessuali;1071
2005;M;Italia;Maltrattamenti;1080
2005;M;Paese Estero;Omicidi Volontari;100
2005;M;Paese Estero;Percosse;70
2005;M;Paese Estero;Stalking;0
2005;M;Paese Estero;Violenze Sessuali;423
2005;M;Paese Estero;Maltrattamenti;184
2005;F;Italia;Omicidi Volontari;24
2005;F;Italia;Percosse;165
2005;F;Italia;Stalking;0
2005;F;Italia;Violenze Sessuali;25
2005;F;Italia;Maltrattamenti;39
2005;F;Paese Estero;Omicidi Volontari;5
2005;F;Paese Estero;Percosse;18
2005;F;Paese Estero;Stalking;0
2005;F;Paese Estero;Violenze Sessuali;3
2005;F;Paese Estero;Maltrattamenti;25
2006;M;Italia;Omicidi Volontari;610
2006;M;Italia;Percosse;447
2006;M;Italia;Stalking;0
2006;M;Italia;Violenze Sessuali;978
2006;M;Italia;Maltrattamenti;1001
2006;M;Paese Estero;Omicidi Volontari;123
2006;M;Paese Estero;Percosse;65
2006;M;Paese Estero;Stalking;0
2006;M;Paese Estero;Violenze Sessuali;429
2006;M;Paese Estero;Maltrattamenti;207
2006;F;Italia;Omicidi Volontari;20
2006;F;Italia;Percosse;135
2006;F;Italia;Stalking;0
2006;F;Italia;Violenze Sessuali;16
2006;F;Italia;Maltrattamenti;39
2006;F;Paese Estero;Omicidi Volontari;4
2006;F;Paese Estero;Percosse;9
2006;F;Paese Estero;Stalking;0
2006;F;Paese Estero;Violenze Sessuali;7
2006;F;Paese Estero;Maltrattamenti;27
2007;M;Italia;Omicidi Volontari;552
2007;M;Italia;Percosse;431
2007;M;Italia;Stalking;0
2007;M;Italia;Violenze Sessuali;1081
2007;M;Italia;Maltrattamenti;1331
2007;M;Paese Estero;Omicidi Volontari;182
2007;M;Paese Estero;Percosse;45
2007;M;Paese Estero;Stalking;0
2007;M;Paese Estero;Violenze Sessuali;449
2007;M;Paese Estero;Maltrattamenti;317
2007;F;Italia;Omicidi Volontari;23
2007;F;Italia;Percosse;136
2007;F;Italia;Stalking;0
2007;F;Italia;Violenze Sessuali;11
2007;F;Italia;Maltrattamenti;43
2007;F;Paese Estero;Omicidi Volontari;10
2007;F;Paese Estero;Percosse;7
2007;F;Paese Estero;Stalking;0
2007;F;Paese Estero;Violenze Sessuali;3
2007;F;Paese Estero;Maltrattamenti;30
2008;M;Italia;Omicidi Volontari;562
2008;M;Italia;Percosse;458
2008;M;Italia;Stalking;0
2008;M;Italia;Violenze Sessuali;1041
2008;M;Italia;Maltrattamenti;1325
2008;M;Paese Estero;Omicidi Volontari;149
2008;M;Paese Estero;Percosse;53
2008;M;Paese Estero;Stalking;0
2008;M;Paese Estero;Violenze Sessuali;483
2008;M;Paese Estero;Maltrattamenti;303
2008;F;Italia;Omicidi Volontari;18
2008;F;Italia;Percosse;146
2008;F;Italia;Stalking;0
2008;F;Italia;Violenze Sessuali;14
2008;F;Italia;Maltrattamenti;53
2008;F;Paese Estero;Omicidi Volontari;2
2008;F;Paese Estero;Percosse;17
2008;F;Paese Estero;Stalking;0
2008;F;Paese Estero;Violenze Sessuali;5
2008;F;Paese Estero;Maltrattamenti;41
2009;M;Italia;Omicidi Volontari;599
2009;M;Italia;Percosse;377
2009;M;Italia;Stalking;25
2009;M;Italia;Violenze Sessuali;1583
2009;M;Italia;Maltrattamenti;1635
2009;M;Paese Estero;Omicidi Volontari;107
2009;M;Paese Estero;Percosse;55
2009;M;Paese Estero;Stalking;4
2009;M;Paese Estero;Violenze Sessuali;857
2009;M;Paese Estero;Maltrattamenti;449
2009;F;Italia;Omicidi Volontari;15
2009;F;Italia;Percosse;126
2009;F;Italia;Stalking;0
2009;F;Italia;Violenze Sessuali;32
2009;F;Italia;Maltrattamenti;50
2009;F;Paese Estero;Omicidi Volontari;8
2009;F;Paese Estero;Percosse;12
2009;F;Paese Estero;Stalking;0
2009;F;Paese Estero;Violenze Sessuali;3
2009;F;Paese Estero;Maltrattamenti;38
2010;M;Italia;Omicidi Volontari;468
2010;M;Italia;Percosse;343
2010;M;Italia;Stalking;171
2010;M;Italia;Violenze Sessuali;1069
2010;M;Italia;Maltrattamenti;1393
2010;M;Paese Estero;Omicidi Volontari;97
2010;M;Paese Estero;Percosse;61
2010;M;Paese Estero;Stalking;29
2010;M;Paese Estero;Violenze Sessuali;665
2010;M;Paese Estero;Maltrattamenti;454
2010;F;Italia;Omicidi Volontari;14
2010;F;Italia;Percosse;87
2010;F;Italia;Stalking;3
2010;F;Italia;Violenze Sessuali;18
2010;F;Italia;Maltrattamenti;59
2010;F;Paese Estero;Omicidi Volontari;11
2010;F;Paese Estero;Percosse;11
2010;F;Paese Estero;Stalking;1
2010;F;Paese Estero;Violenze Sessuali;4
2010;F;Paese Estero;Maltrattamenti;43
2011;M;Italia;Omicidi Volontari;338
2011;M;Italia;Percosse;304
2011;M;Italia;Stalking;362
2011;M;Italia;Violenze Sessuali;1045
2011;M;Italia;Maltrattamenti;1391
2011;M;Paese Estero;Omicidi Volontari;96
2011;M;Paese Estero;Percosse;68
2011;M;Paese Estero;Stalking;74
2011;M;Paese Estero;Violenze Sessuali;642
2011;M;Paese Estero;Maltrattamenti;545
