Anno;Sesso;Provenienza;Reato;<=1 Mese;1 Mese - 3 Mesi;3 Mesi - 6 Mesi;6 Mesi - 12 Mesi;1 Anno - Anni;2 Anni - 3 Anni;3 Anni - 5 Anni;5 Anni - 10 Anni;>10 Anni
2000;M;Italia;Omicidi Volontari;0;0;0;0;3;1;10;53;415
2000;M;Italia;Percosse;38;34;10;4;1;0;0;0;0
2000;M;Italia;Stalking;0;0;0;0;0;0;0;0;0
2000;M;Italia;Violenze Sessuali;0;0;10;194;395;111;144;89;6
2000;M;Italia;Maltrattamenti;8;15;307;465;166;12;1;1;1
2000;M;Paese Estero;Omicidi Volontari;0;0;0;0;2;0;0;12;45
2000;M;Paese Estero;Percosse;7;2;0;0;1;0;0;0;0
2000;M;Paese Estero;Stalking;0;0;0;0;0;0;0;0;0
2000;M;Paese Estero;Violenze Sessuali;1;1;1;26;96;42;48;34;0
2000;M;Paese Estero;Maltrattamenti;1;1;29;50;12;3;1;0;0
2000;F;Italia;Omicidi Volontari;0;0;0;0;0;0;1;7;6
2000;F;Italia;Percosse;10;5;0;0;0;0;0;0;0
2000;F;Italia;Stalking;0;0;0;0;0;0;0;0;0
2000;F;Italia;Violenze Sessuali;0;0;0;0;9;5;2;2;0
2000;F;Italia;Maltrattamenti;0;2;19;33;11;1;0;0;0
2000;F;Paese Estero;Omicidi Volontari;0;0;0;0;0;0;0;0;0
2000;F;Paese Estero;Percosse;0;0;0;0;0;0;0;0;0
2000;F;Paese Estero;Stalking;0;0;0;0;0;0;0;0;0
2000;F;Paese Estero;Violenze Sessuali;0;0;0;0;0;0;0;0;0
2000;F;Paese Estero;Maltrattamenti;0;0;2;2;1;0;0;0;0
2001;M;Italia;Omicidi Volontari;0;0;1;0;2;4;6;69;541
2001;M;Italia;Percosse;37;33;5;3;1;0;0;0;0
2001;M;Italia;Stalking;0;0;0;0;0;0;0;0;0
2001;M;Italia;Violenze Sessuali;0;3;14;172;426;118;147;103;4
2001;M;Italia;Maltrattamenti;7;13;319;516;177;9;3;0;0
2001;M;Paese Estero;Omicidi Volontari;0;0;0;0;1;2;2;14;93
2001;M;Paese Estero;Percosse;3;10;2;0;0;0;0;0;0
2001;M;Paese Estero;Stalking;0;0;0;0;0;0;0;0;0
2001;M;Paese Estero;Violenze Sessuali;0;2;2;50;167;66;87;75;3
2001;M;Paese Estero;Maltrattamenti;1;1;42;94;41;2;6;0;0
2001;F;Italia;Omicidi Volontari;0;0;0;0;0;0;0;6;19
2001;F;Italia;Percosse;4;5;1;0;0;0;0;0;0
2001;F;Italia;Stalking;0;0;0;0;0;0;0;0;0
2001;F;Italia;Violenze Sessuali;0;0;0;1;7;2;3;5;0
2001;F;Italia;Maltrattamenti;2;0;20;25;2;1;0;0;0
2001;F;Paese Estero;Omicidi Volontari;0;0;0;0;0;0;0;0;1
2001;F;Paese Estero;Percosse;4;2;0;0;0;0;0;0;0
2001;F;Paese Estero;Stalking;0;0;0;0;0;0;0;0;0
2001;F;Paese Estero;Violenze Sessuali;0;0;0;0;1;0;1;1;0
2001;F;Paese Estero;Maltrattamenti;0;0;1;6;1;1;0;0;0
2002;M;Italia;Omicidi Volontari;0;0;0;1;2;2;11;96;597
2002;M;Italia;Percosse;40;37;9;1;0;0;0;0;0
2002;M;Italia;Stalking;0;0;0;0;0;0;0;0;0
2002;M;Italia;Violenze Sessuali;0;2;21;166;481;150;169;123;15
2002;M;Italia;Maltrattamenti;9;29;267;522;208;9;3;0;1
2002;M;Paese Estero;Omicidi Volontari;0;0;0;0;0;0;1;13;63
2002;M;Paese Estero;Percosse;5;4;1;0;0;0;0;0;0
2002;M;Paese Estero;Stalking;0;0;0;0;0;0;0;0;0
2002;M;Paese Estero;Violenze Sessuali;0;0;2;26;93;26;64;49;7
2002;M;Paese Estero;Maltrattamenti;0;1;31;70;33;0;1;0;0
2002;F;Italia;Omicidi Volontari;0;0;0;0;0;0;0;5;15
2002;F;Italia;Percosse;10;9;1;0;0;0;0;0;0
2002;F;Italia;Stalking;0;0;0;0;0;0;0;0;0
2002;F;Italia;Violenze Sessuali;0;0;0;1;3;2;8;9;4
2002;F;Italia;Maltrattamenti;1;3;18;26;15;0;0;0;0
2002;F;Paese Estero;Omicidi Volontari;0;0;0;0;0;0;0;1;0
2002;F;Paese Estero;Percosse;0;1;0;0;0;0;0;0;0
2002;F;Paese Estero;Stalking;0;0;0;0;0;0;0;0;0
2002;F;Paese Estero;Violenze Sessuali;0;0;0;0;2;0;1;1;0
2002;F;Paese Estero;Maltrattamenti;0;0;2;3;7;0;0;0;0
2003;M;Italia;Omicidi Volontari;0;0;0;1;5;0;7;116;626
2003;M;Italia;Percosse;34;34;12;2;0;0;0;0;0
2003;M;Italia;Stalking;0;0;0;0;0;0;0;0;0
2003;M;Italia;Violenze Sessuali;3;5;16;212;462;151;165;90;8
2003;M;Italia;Maltrattamenti;5;18;277;545;223;6;1;2;0
2003;M;Paese Estero;Omicidi Volontari;0;0;0;0;1;2;1;15;109
2003;M;Paese Estero;Percosse;11;5;5;0;0;0;0;0;0
2003;M;Paese Estero;Stalking;0;0;0;0;0;0;0;0;0
2003;M;Paese Estero;Violenze Sessuali;0;0;6;32;133;58;92;68;3
2003;M;Paese Estero;Maltrattamenti;1;5;43;80;42;2;2;0;0
2003;F;Italia;Omicidi Volontari;0;0;0;0;0;0;1;11;11
2003;F;Italia;Percosse;7;2;0;0;0;0;0;0;0
2003;F;Italia;Stalking;0;0;0;0;0;0;0;0;0
2003;F;Italia;Violenze Sessuali;0;0;1;2;7;2;6;3;2
2003;F;Italia;Maltrattamenti;1;0;23;29;12;1;0;0;0
2003;F;Paese Estero;Omicidi Volontari;0;0;0;0;1;0;0;1;1
2003;F;Paese Estero;Percosse;1;1;0;0;0;0;0;0;0
2003;F;Paese Estero;Stalking;0;0;0;0;0;0;0;0;0
2003;F;Paese Estero;Violenze Sessuali;0;0;0;1;0;0;2;2;0
2003;F;Paese Estero;Maltrattamenti;1;2;2;4;2;1;0;0;1
2004;M;Italia;Omicidi Volontari;1;0;0;0;3;1;7;139;626
2004;M;Italia;Percosse;28;23;4;4;0;0;0;0;0
2004;M;Italia;Stalking;0;0;0;0;0;0;0;0;0
2004;M;Italia;Violenze Sessuali;0;3;34;202;446;195;180;91;5
2004;M;Italia;Maltrattamenti;7;15;274;561;235;18;3;1;0
2004;M;Paese Estero;Omicidi Volontari;0;0;0;0;1;0;1;26;103
2004;M;Paese Estero;Percosse;4;6;1;1;0;0;0;0;0
2004;M;Paese Estero;Stalking;0;0;0;0;0;0;0;0;0
2004;M;Paese Estero;Violenze Sessuali;0;0;0;36;120;71;109;63;1
2004;M;Paese Estero;Maltrattamenti;0;2;33;76;54;4;3;0;0
2004;F;Italia;Omicidi Volontari;0;0;0;0;0;0;1;9;20
2004;F;Italia;Percosse;5;6;0;0;0;0;0;0;0
2004;F;Italia;Stalking;0;0;0;0;0;0;0;0;0
2004;F;Italia;Violenze Sessuali;0;0;1;3;4;6;3;1;1
2004;F;Italia;Maltrattamenti;0;2;14;24;9;0;0;0;0
2004;F;Paese Estero;Omicidi Volontari;0;0;0;0;0;0;0;0;4
