Giorno;2013;2014;2015;2016;2017;2018;2019;2020
1/1;17;15;11;9;11;16;24;13
2/1;72;46;40;12;24;35;33;26
3/1;52;26;36;10;29;36;36;24
4/1;56;14;21;43;24;32;23;27
5/1;35;21;15;20;18;32;25;12
6/1;23;18;16;6;14;19;26;11
7/1;45;42;33;26;12;15;26;25
8/1;51;31;18;21;14;26;23;19
9/1;56;38;34;27;30;19;23;19
10/1;44;30;11;20;21;19;35;11
11/1;54;26;15;27;31;34;22;7
12/1;33;18;22;16;30;28;20;19
13/1;30;36;22;20;19;24;14;8
14/1;42;28;33;32;15;22;36;16
15/1;35;45;24;15;18;60;28;18
16/1;41;31;26;11;11;35;20;16
17/1;38;47;10;14;20;32;24;25
18/1;33;9;9;26;13;29;26;11
19/1;26;20;58;18;17;32;16;19
20/1;18;43;36;7;19;23;20;15
21/1;48;14;30;20;19;28;29;14
22/1;45;39;26;28;19;45;23;17
23/1;35;34;20;10;31;26;28;14
24/1;45;20;15;11;21;43;20;12
25/1;28;37;19;30;17;33;22;25
26/1;35;19;31;15;27;25;16;11
27/1;14;24;16;22;13;31;14;21
28/1;34;23;14;10;12;24;24;14
29/1;46;33;23;14;9;38;30;33
30/1;32;29;22;20;29;38;23;21
31/1;23;30;25;11;17;23;24;16
1/2;35;18;15;23;14;27;20;13
2/2;23;16;31;27;9;20;10;20
3/2;24;34;19;20;22;35;14;27
4/2;35;26;25;34;18;15;22;22
5/2;24;33;23;19;9;29;28;20
6/2;27;26;13;20;17;28;19;29
7/2;27;34;24;7;24;32;22;27
8/2;36;22;10;23;10;33;24;11
9/2;26;12;19;19;22;24;25;11
10/2;23;45;25;23;18;29;14;28
11/2;58;28;36;15;12;19;37;23
12/2;47;35;11;23;9;31;30;23
13/2;58;36;19;18;22;30;23;33
14/2;68;25;23;12;16;24;27;20
15/2;62;27;18;30;18;28;29;19
16/2;48;18;27;31;20;28;21;12
17/2;31;39;32;27;9;26;15;38
18/2;58;25;25;25;24;21;19;35
19/2;42;30;15;18;7;36;41;20
20/2;40;35;32;25;23;33;25;34
21/2;52;26;19;15;16;20;23;22
22/2;39;27;19;24;15;32;18;21
23/2;41;7;24;27;9;21;16;11
24/2;31;29;22;10;15;21;15;30
25/2;102;27;15;28;10;21;22;17
26/2;55;18;31;25;11;29;28;19
27/2;61;27;21;13;16;29;29;22
28/2;47;37;19;8;19;16;15;13
29/2;0;0;0;27;0;0;0;18
1/3;41;21;11;19;22;24;18;11
2/3;38;22;13;13;16;29;16;29
3/3;39;33;19;25;15;30;24;18
4/3;50;32;27;29;19;14;13;10
5/3;50;30;22;16;19;25;21;23
6/3;52;26;27;21;19;32;24;23
7/3;36;19;13;27;26;28;21;11
8/3;52;35;16;30;19;21;32;14
9/3;39;35;23;25;18;32;23;13
10/3;21;55;32;28;29;22;22;23
11/3;43;56;31;17;18;12;40;6
12/3;38;56;19;19;12;36;34;12
13/3;42;45;16;16;33;36;28;17
14/3;20;51;24;27;28;36;22;8
15/3;29;33;18;29;17;39;38;20
16/3;26;44;24;24;18;29;21;28
17/3;17;72;24;22;28;22;21;27
18/3;26;35;20;19;8;28;29;24
19/3;42;38;21;19;11;42;24;18
20/3;43;58;22;14;24;31;27;17
21/3;34;40;12;23;20;20;25;32
22/3;35;24;18;21;21;28;32;25
23/3;17;34;31;26;12;18;23;29
24/3;25;48;28;27;24;23;18;42
25/3;37;36;25;22;10;12;44;41
26/3;24;45;24;17;11;34;24;53
27/3;36;37;31;10;17;37;38;68
28/3;24;30;20;15;25;28;29;35
29/3;31;30;13;30;21;31;31;51
30/3;10;15;23;16;19;31;16;61
31/3;13;44;25;22;18;28;25;59
1/4;21;28;30;17;13;19;36;75
2/4;28;45;15;11;17;20;30;49
3/4;30;34;17;15;19;37;28;54
4/4;34;31;16;21;19;22;27;67
5/4;28;37;12;15;21;40;28;45
6/4;10;24;14;14;22;24;14;78
7/4;9;48;32;17;10;20;26;70
8/4;32;30;33;7;15;19;42;89
9/4;31;47;21;10;15;41;31;65
10/4;17;45;29;15;22;28;34;94
11/4;29;26;9;14;19;28;22;68
12/4;24;21;19;20;13;23;22;34
13/4;15;9;32;13;21;27;30;68
14/4;11;34;20;15;11;22;17;70
15/4;29;27;18;17;9;10;19;91
16/4;34;15;36;10;8;29;29;65
17/4;23;28;24;12;15;28;24;61
18/4;27;28;18;23;23;20;15;68
19/4;17;15;13;18;16;18;21;55
20/4;9;14;14;20;26;22;24;89
21/4;19;13;19;25;19;14;16;89
22/4;25;28;31;20;17;18;20;91
23/4;13;26;22;15;15;30;30;77
24/4;28;35;23;5;24;33;42;88
25/4;11;23;15;16;22;17;19;57
26/4;24;28;4;17;21;31;30;55
27/4;12;20;29;19;9;27;17;88
28/4;17;35;32;21;15;14;18;74
29/4;36;38;23;19;19;21;34;81
30/4;25;30;21;18;17;32;24;74
1/5;13;21;12;12;1;23;13;41
2/5;25;40;13;20;30;25;31;78
3/5;29;19;21;31;16;37;17;54
4/5;22;21;20;18;16;25;15;78
5/5;11;33;21;19;27;30;17;71
6/5;32;22;24;29;21;15;31;89
7/5;23;42;28;10;11;29;31;63
8/5;33;36;15;12;26;32;27;74
9/5;38;40;17;32;19;35;32;61
10/5;33;23;13;20;16;35;27;60
11/5;59;18;34;27;21;18;19;73
12/5;79;35;33;27;20;17;12;60
13/5;130;40;30;20;16;25;33;69
14/5;115;29;28;25;11;32;32;77
15/5;74;43;21;12;18;28;22;68
16/5;86;14;10;23;25;34;22;54
17/5;64;19;11;31;23;17;26;45
18/5;53;18;30;19;31;23;17;79
19/5;47;33;23;19;14;15;12;59
20/5;102;32;25;21;19;16;20;74
21/5;62;26;40;17;10;35;22;71
22/5;72;36;14;15;20;26;19;62
23/5;57;23;15;32;15;25;22;50
24/5;71;20;20;16;28;24;22;39
25/5;58;7;34;22;20;34;16;67
26/5;42;39;27;29;11;17;24;70
27/5;85;32;23;5;17;21;29;68
28/5;58;27;23;18;16;32;21;54
29/5;83;35;26;15;30;42;23;51
30/5;100;34;23;21;16;42;18;52
31/5;78;20;24;44;33;29;18;36
1/6;64;15;34;28;18;25;18;68
2/6;52;14;33;27;14;14;22;44
3/6;70;27;30;37;34;16;25;52
4/6;93;27;27;18;13;37;31;60
5/6;52;30;21;29;21;45;19;51
6/6;97;21;24;26;14;41;25;42
7/6;59;21;24;33;17;37;23;44
8/6;46;22;34;38;18;36;24;56
9/6;83;22;22;35;22;26;12;46
10/6;99;26;22;41;21;17;33;48
11/6;69;36;34;31;12;33;19;43
12/6;117;28;23;23;33;32;13;60
13/6;62;23;24;26;16;38;22;32
14/6;97;20;23;43;21;23;20;36
15/6;52;15;23;31;16;19;32;49
16/6;43;35;33;17;20;28;13;43
17/6;85;29;21;29;16;15;33;43
18/6;81;26;20;12;16;27;28;37
19/6;58;18;15;26;24;30;33;38
20/6;74;26;16;33;17;29;12;29
21/6;80;6;20;25;16;40;21;22
22/6;55;15;38;32;29;29;16;51
23/6;42;36;22;27;25;27;19;46
24/6;54;25;25;13;19;15;39;49
25/6;60;28;22;23;13;29;25;46
26/6;46;35;19;11;33;31;29;47
27/6;64;35;33;22;20;25;24;35
28/6;58;16;8;33;21;28;16;35
29/6;24;11;14;14;11;15;20;47
30/6;27;32;11;22;10;20;19;31
1/7;48;28;31;35;18;21;16;54
2/7;45;24;17;7;11;22;13;64
3/7;38;25;27;23;23;23;21;69
4/7;43;32;17;29;14;24;22;59
5/7;38;26;14;15;12;28;20;54
6/7;21;16;29;29;18;25;14;77
7/7;36;20;15;28;25;27;9;51
8/7;49;28;16;25;7;13;19;63
9/7;40;23;14;18;10;22;32;60
10/7;45;27;19;12;13;23;21;64
11/7;40;26;18;12;16;15;31;49
12/7;39;26;15;36;8;24;33;54
13/7;26;15;29;36;9;20;13;85
14/7;22;32;11;30;29;33;17;47
15/7;49;23;14;22;15;14;20;68
16/7;44;35;12;19;13;34;19;48
17/7;31;31;15;12;18;17;18;43
18/7;29;29;22;41;16;31;22;55
19/7;25;13;22;19;13;25;30;48
20/7;26;15;21;37;26;19;18;57
21/7;24;40;21;21;19;26;16;56
22/7;33;35;8;32;14;11;22;47
23/7;38;28;17;16;12;30;26;45
24/7;33;25;23;19;27;29;31;53
25/7;34;34;13;33;12;22;18;39
26/7;25;22;9;22;24;31;24;55
27/7;18;21;23;18;23;32;32;48
28/7;15;34;19;23;18;25;16;56
29/7;33;35;12;21;26;13;29;39
30/7;35;38;18;27;9;21;30;45
31/7;37;19;27;21;18;21;33;44
1/8;26;24;19;38;18;29;22;52
2/8;46;21;9;23;30;24;19;57
3/8;25;22;18;25;19;31;11;50
4/8;22;27;21;28;17;18;22;32
5/8;46;37;29;19;20;19;27;34
6/8;23;48;11;24;16;33;27;50
7/8;33;26;18;12;20;34;32;52
8/8;32;16;15;30;28;30;18;67
9/8;34;18;14;37;30;31;9;33
10/8;35;18;29;26;23;25;15;40
11/8;27;44;19;17;13;28;13;46
12/8;44;31;17;26;15;25;27;53
13/8;40;31;20;9;15;35;19;47
14/8;48;22;34;16;17;33;23;32
15/8;30;20;29;14;20;15;19;50
16/8;26;13;25;24;21;31;22;42
17/8;25;23;22;21;24;26;21;58
18/8;24;36;28;32;20;25;24;65
19/8;34;35;34;27;19;14;34;43
20/8;38;29;31;16;15;31;29;40
21/8;37;39;22;12;18;28;38;31
22/8;28;23;19;35;14;19;32;29
23/8;28;21;20;31;17;20;19;20
24/8;14;21;20;22;22;14;20;41
25/8;8;19;29;24;15;18;22;54
26/8;39;22;21;11;23;15;30;40
27/8;24;32;28;16;12;23;36;38
28/8;38;19;18;10;29;17;20;23
29/8;25;23;19;32;29;21;23;18
30/8;26;31;20;22;19;28;25;34
31/8;16;19;26;22;22;19;21;45
1/9;21;42;27;26;12;17;14;52
2/9;39;16;26;28;15;12;36;33
3/9;44;23;18;16;30;28;27;32
4/9;24;26;21;11;24;15;23;27
5/9;47;29;16;20;29;18;30;34
6/9;32;27;29;27;24;19;26;32
7/9;24;14;20;18;11;22;18;41
8/9;29;28;21;24;16;15;20;23
9/9;49;25;17;21;10;14;32;37
10/9;49;17;11;15;18;36;26;27
11/9;52;22;12;8;16;20;31;18
12/9;44;17;15;24;23;27;26;31
13/9;18;17;21;31;19;26;23;41
14/9;21;12;20;32;21;22;14;18
15/9;24;29;23;16;26;17;17;39
16/9;34;36;20;11;31;18;35;49
17/9;45;24;20;8;27;38;14;32
18/9;45;23;19;7;20;20;25;18
19/9;21;18;22;20;26;27;26;27
20/9;41;11;10;23;24;33;20;22
21/9;28;16;20;28;17;24;17;27
22/9;34;31;23;23;17;19;19;45
23/9;51;33;17;16;21;16;24;38
24/9;45;19;6;10;22;28;30;43
25/9;51;34;17;12;32;28;16;33
26/9;48;26;11;31;21;33;22;20
27/9;34;12;9;17;19;28;22;23
28/9;43;11;18;20;15;28;18;33
29/9;30;28;28;23;25;24;16;38
30/9;49;19;15;21;28;10;20;34
1/10;61;22;14;9;20;19;30;27
2/10;35;21;15;16;25;27;23;39
3/10;59;21;13;28;37;14;17;12
4/10;38;7;21;31;24;17;21;14
5/10;23;24;20;21;19;9;13;35
6/10;38;26;16;26;24;16;11;34
7/10;40;26;31;23;18;13;35;30
8/10;35;26;22;20;15;32;16;39
9/10;59;27;20;12;15;23;23;34
10/10;43;18;21;14;21;25;26;31
11/10;63;16;9;17;19;37;21;27
12/10;15;20;33;37;25;25;15;31
13/10;34;19;31;18;33;17;10;36
14/10;73;34;22;15;15;21;26;29
15/10;60;27;16;32;16;46;18;22
16/10;57;21;16;10;44;35;22;25
17/10;49;26;14;36;17;30;30;22
18/10;48;15;13;27;18;23;21;30
19/10;11;17;21;16;27;13;17;32
20/10;33;41;22;18;15;26;13;28
21/10;54;26;33;22;34;13;23;35
22/10;34;33;12;17;11;22;22;22
23/10;39;23;23;12;27;19;24;25
24/10;33;27;7;33;27;22;35;27
25/10;28;16;9;39;24;15;22;34
26/10;30;15;17;25;27;22;19;44
27/10;23;30;16;20;24;8;22;50
28/10;54;22;23;18;30;15;20;43
29/10;45;33;17;13;10;19;27;34
30/10;46;32;15;7;33;15;14;33
31/10;39;34;16;13;12;12;18;34
1/11;34;18;11;11;18;9;18;26
2/11;10;30;10;10;16;28;25;37
3/11;24;38;28;23;19;16;17;47
4/11;45;40;14;20;14;15;29;40
5/11;33;24;26;10;14;20;24;29
6/11;46;27;12;19;21;21;25;18
7/11;37;34;10;24;23;21;26;21
8/11;25;26;11;23;21;29;15;32
9/11;13;20;22;23;19;15;15;39
10/11;19;34;18;21;18;12;2;58
11/11;34;35;20;22;10;13;14;40
12/11;25;27;12;6;15;14;17;33
13/11;29;43;19;12;21;35;10;32
14/11;32;37;22;34;21;23;16;46
15/11;26;26;18;18;19;13;19;31
16/11;30;15;23;31;20;10;5;25
